"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",05/26/2020 10:00,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.165,<0>  ,0.0201,<0>  ,0.606,<0>  ,0.626,<0>  ,20.83,<0>  ,
"cbmocnut  ","P",05/26/2020 10:01,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.166,<0>  ,0.0206,<0>  ,0.649,<0>  ,0.67,<0>  ,19.76,<0>  ,
"cbmocnut  ","P",06/09/2020 8:45,1,1,1         ,1         ,"",0.0046,<1> [GSM] (CHB) ,0.063,<1> [GSM] (CHB) ,0.0181,<1> [GSM] (CHB) ,0.497,<1> [GQS] (CHB) ,0.515,<0>  ,22.96,<0>  ,
"cbmocnut  ","P",06/23/2020 7:45,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.088,<0>  ,0.0175,<0>  ,0.54,<0>  ,0.557,<0>  ,25.63,<0>  ,
"cbmocnut  ","P",06/23/2020 7:46,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.081,<0>  ,0.0172,<0>  ,0.497,<0>  ,0.514,<0>  ,21.36,<0>  ,
"cbmocnut  ","P",07/09/2020 9:15,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.031,<0>  ,0.0042,<0>  ,0.01,<0>  ,0.014,<0>  ,35.24,<0>  ,
"cbmocnut  ","P",07/22/2020 7:45,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.035,<0>  ,0.0036,<0>  ,0.032,<0>  ,0.036,<0>  ,2.85,<1> [SRD] ,
"cbmocnut  ","P",07/22/2020 7:46,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.023,<0>  ,0.0032,<0>  ,0.009,<0>  ,0.012,<0>  ,12.46,<1> [SRD] ,
"cbmocnut  ","P",08/04/2020 12:45,1,1,1         ,1         ,"",0.0054,<1> [GSM] (CHB) ,0.026,<1> [GSM] (CHB) ,0.0032,<1> [GSM] (CHB) ,0.074,<1> [GQS] (CHB) ,0.077,<0>  ,16.02,<0>  ,
"cbmocnut  ","P",08/18/2020 8:45,1,1,1         ,1         ,"",0.0071,<0>  ,0.09,<0>  ,0.0073,<0>  ,0.324,<0>  ,0.331,<0>  ,25.9,<0>  ,
"cbmocnut  ","P",08/18/2020 8:46,1,1,1         ,2         ,"",0.0035,<0>  ,0.014,<0>  ,0.0067,<0>  ,0.387,<0>  ,0.394,<0>  ,29.37,<0>  ,
"cbmocnut  ","P",09/01/2020 9:15,1,1,1         ,1         ,"",0.0034,<-4> [SBL] (CHB) ,0.037,<1> [GSM] (CHB) ,0.0023,<1> [GSM] (CHB) ,0.076,<1> [GQS] (CHB) ,0.078,<0>  ,14.6,<0>  ,
"cbmocnut  ","P",09/15/2020 8:00,1,1,1         ,1         ,"",0.004,<0>  ,0.034,<0>  ,0.0031,<0>  ,0.098,<0>  ,0.101,<0>  ,21.36,<0>  ,
"cbmocnut  ","P",09/15/2020 8:01,1,1,1         ,2         ,"",0.0036,<0>  ,0.037,<0>  ,0.0055,<0>  ,0.104,<0>  ,0.109,<0>  ,33.11,<0>  ,
"cbmocnut  ","P",10/01/2020 9:15,1,1,1         ,1         ,"",0.0034,<-4> [SBL] (CHB) ,0.04,<1> [GSM] (CHB) ,0.0059,<1> [GSM] (CHB) ,0.345,<1> [GQS] (CHB) ,0.351,<1> [GSM] (CHB) ,45.92,<0>  ,
"cbmocnut  ","P",10/14/2020 7:45,1,1,1         ,1         ,"",0.0043,<0>  ,0.018,<0>  ,0.0043,<0>  ,0.133,<0>  ,0.137,<0>  ,82.95,<0>  ,
"cbmocnut  ","P",10/14/2020 7:46,1,1,1         ,2         ,"",0.0043,<0>  ,0.026,<0>  ,0.0038,<0>  ,0.113,<0>  ,0.117,<0>  ,86.15,<0>  ,
"cbmocnut  ","P",10/29/2020 7:30,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.054,<0>  ,0.0091,<0>  ,0.364,<0>  ,0.373,<0>  ,48.06,<0>  ,
"cbmocnut  ","P",11/10/2020 9:15,1,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.05,<0>  ,0.012,<0>  ,0.553,<0>  ,0.565,<0>  ,33.11,<0>  ,
"cbmocnut  ","P",11/10/2020 9:16,1,1,1         ,2         ,"",0.0034,<-4> [SBL] ,0.051,<0>  ,0.012,<0>  ,0.553,<0>  ,0.565,<0>  ,31.51,<0>  ,
"cbmocnut  ","P",12/08/2020 13:30,1,1,1         ,1         ,"",0.0062,<1> [GSM] (CHB) ,0.1,<1> [GSM] (CHB) ,0.0053,<1> [GSM] (CHB) ,1.065,<1> [GQS] (CHB) ,1.07,<0>  ,17.09,<0>  ,
"cbmocnut  ","P",12/08/2020 13:31,1,1,1         ,2         ,"",0.0055,<1> [GSM] (CHB) ,0.1,<1> [GSM] (CHB) ,0.0052,<1> [GSM] (CHB) ,1.085,<1> [GQS] (CHB) ,1.09,<0>  ,8.54,<0>  ,

