"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",01/06/2022 9:45,0,1,1         ,1         ,"",0.0034,<-4> [SBL] (CHB) ,0.039,<1> (CHB) ,0.0079,<1> (CHB) ,1.2921,<1> (CHB) ,1.3,<0>  ,12.28,<0>  ,
"cbmocnut  ","P",01/06/2022 9:46,0,1,1         ,2         ,"",0.004,<1> (CHB) ,0.041,<1> (CHB) ,0.0079,<1> (CHB) ,1.3021,<1> (CHB) ,1.31,<0>  ,11.75,<0>  ,
"cbmocnut  ","P",03/03/2022 9:30,0,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.016,<0>  ,0.0071,<0>  ,1.3829,<0>  ,1.39,<0>  ,14.95,<0>  ,
"cbmocnut  ","P",03/03/2022 9:31,0,1,1         ,2         ,"",0.0035,<0>  ,0.02,<0>  ,0.0075,<0>  ,1.3225,<0>  ,1.33,<0>  ,14.6,<0>  ,
"cbmocnut  ","P",04/07/2022 11:00,0,1,1         ,1         ,"",0.0053,<1> (CHB) ,0.099,<1> [GQS] (CSM) ,0.0093,<1> (CHB) ,0.8046,<1> (CHB) ,0.8139,<0>  ,12.82,<0>  ,
"cbmocnut  ","P",04/19/2022 11:30,0,1,1         ,1         ,"",0.0034,<1> (CHB) ,0.029,<1> [GQS] (CSM) ,0.0093,<1> (CHB) ,0.5767,<1> (CHB) ,0.586,<0>  ,18.16,<0>  ,
"cbmocnut  ","P",04/19/2022 11:31,0,1,1         ,2         ,"",0.0034,<-4> [SBL] (CHB) ,0.027,<1> (CHB) ,0.009,<1> (CHB) ,0.58,<1> (CHB) ,0.589,<0>  ,18.16,<0>  ,
"cbmocnut  ","P",05/05/2022 7:30,0,1,1         ,1         ,"",0.0036,<1> (CHB) ,0.034,<1> (CHB) ,0.0101,<1> (CHB) ,0.4069,<1> (CHB) ,0.417,<0>  ,34.18,<0>  ,
"cbmocnut  ","P",05/19/2022 10:45,0,1,1         ,1         ,"",0.0034,<-4> [SBL] ,0.009,<-4> [SBL] ,0.017,<0>  ,0.47,<0>  ,0.487,<0>  ,41.65,<0>  ,
"cbmocnut  ","P",05/19/2022 10:46,0,1,1         ,2         ,"",0.004,<0>  ,0.009,<-4> [SBL] ,0.017,<0>  ,0.465,<0>  ,0.482,<0>  ,41.65,<0>  ,
"cbmocnut  ","P",06/01/2022 10:45,0,1,1         ,1         ,"",0.0034,<1> (CHB) ,0.017,<1> (CHB) ,0.0175,<1> (CHB) ,0.4145,<1> (CHB) ,0.432,<1> (CHB) ,40.58,<0>  ,
"cbmocnut  ","P",06/16/2022 9:30,0,1,1         ,1         ,"",0.0051,<1> (CHB) ,0.052,<1> (CHB) ,0.0121,<1> (CHB) ,0.3199,<1> (CHB) ,0.332,<0>  ,29.37,<0>  ,
"cbmocnut  ","P",06/16/2022 9:31,0,1,1         ,2         ,"",0.0034,<-4> [SBL] (CHB) ,0.03,<1> (CHB) ,0.011,<1> (CHB) ,0.317,<1> (CHB) ,0.328,<0>  ,30.97,<0>  ,
"cbmocnut  ","P",06/30/2022 11:45,0,1,1         ,1         ,"",0.0034,<0>  ,0.028,<0>  ,0.0086,<0>  ,0.1914,<0>  ,0.2,<0>  ,21.0,<0>  ,
"cbmocnut  ","P",07/14/2022 12:15,0,1,1         ,1         ,"",0.0034,<-4> [SBL] (CHB) ,0.012,<1> (CHB) ,0.0222,<1> (CHB) ,0.3468,<1> (CHB) ,0.369,<0>  ,8.01,<0>  ,
"cbmocnut  ","P",07/26/2022 11:15,0,1,1         ,1         ,"",0.0061,<1> (CHB) ,0.039,<1> (CHB) ,0.0037,<1> (CHB) ,0.0456,<1> (CHB) ,0.0493,<0>  ,1.34,<0>  ,
"cbmocnut  ","P",07/26/2022 11:16,0,1,1         ,2         ,"",0.007,<1> (CHB) ,0.039,<1> (CHB) ,0.004,<1> (CHB) ,0.0809,<1> (CHB) ,0.0849,<0>  ,1.87,<0>  ,
"cbmocnut  ","P",08/11/2022 8:45,0,1,1         ,1         ,"",0.0034,<-4> [SBL] (CHB) ,0.013,<1> (CHB) ,0.0022,<1> (CHB) ,0.0146,<1> (CHB) ,0.0168,<1> (CHB) ,14.15,<0>  ,
"cbmocnut  ","P",08/26/2022 7:45,0,1,1         ,1         ,"",0.0072,<1> (CHB) ,0.032,<1> (CHB) ,0.0115,<1> (CHB) ,0.1782,<1> (CHB) ,0.1897,<0>  ,8.54,<0>  ,
