"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",03/05/2018 11:15,1,1,1         ,1         ,"",0.0069,<0>  ,0.082,<0>  ,0.0022,<0>  ,0.712,<0>  ,0.714,<0>  ,23.5,<0>  ,
"cbmocnut  ","P",03/05/2018 11:16,1,1,1         ,2         ,"",0.0059,<0>  ,0.084,<0>  ,0.0024,<0>  ,0.774,<0>  ,0.776,<0>  ,24.56,<0>  ,
"cbmocnut  ","P",04/10/2018 9:45,1,1,1         ,1         ,"",0.0021,<0>  ,0.017,<0>  ,0.0056,<0>  ,0.629,<0>  ,0.635,<0>  ,25.63,<0>  ,
"cbmocnut  ","P",04/18/2018 11:15,1,1,1         ,1         ,"",0.0026,<0>  ,0.006,<0>  ,0.0141,<0>  ,1.126,<0>  ,1.14,<0>  ,42.72,<0>  ,
"cbmocnut  ","P",04/18/2018 11:16,1,1,1         ,2         ,"",0.0027,<0>  ,0.005,<0>  ,0.0146,<0>  ,1.155,<0>  ,1.17,<0>  ,38.45,<0>  ,
"cbmocnut  ","P",05/08/2018 10:30,1,1,1         ,1         ,"",0.0052,<0>  ,0.026,<0>  ,0.0067,<0>  ,0.137,<0>  ,0.144,<0>  ,41.65,<0>  ,
"cbmocnut  ","P",05/22/2018 8:30,1,1,1         ,1         ,"",0.0064,<0>  ,0.157,<0>  ,0.0116,<0>  ,0.715,<0>  ,0.727,<0>  ,12.82,<0>  ,
"cbmocnut  ","P",05/22/2018 8:31,1,1,1         ,2         ,"",0.0063,<0>  ,0.181,<0>  ,0.0115,<0>  ,0.752,<0>  ,0.763,<0>  ,11.75,<0>  ,
"cbmocnut  ","P",06/07/2018 9:45,1,1,1         ,1         ,"",0.0046,<0>  ,0.113,<0>  ,0.0121,<0>  ,0.798,<0>  ,0.81,<0>  ,11.75,<0>  ,
"cbmocnut  ","P",06/20/2018 9:45,1,1,1         ,1         ,"",0.0036,<0>  ,0.005,<0>  ,0.0078,<0>  ,0.421,<0>  ,0.429,<0>  ,45.92,<0>  ,
"cbmocnut  ","P",06/20/2018 9:46,1,1,1         ,2         ,"",0.0037,<0>  ,0.004,<0>  ,0.007,<0>  ,0.384,<0>  ,0.391,<0>  ,42.72,<0>  ,
"cbmocnut  ","P",07/05/2018 9:45,1,1,1         ,1         ,"",0.0035,<0>  ,0.008,<0>  ,0.0099,<0>  ,0.153,<0>  ,0.163,<0>  ,50.73,<0>  ,
"cbmocnut  ","P",07/19/2018 10:15,1,1,1         ,1         ,"",0.0064,<1> [SRD] ,0.023,<0>  ,0.0181,<0>  ,0.397,<0>  ,0.415,<0>  ,65.68,<0>  ,
"cbmocnut  ","P",07/19/2018 10:16,1,1,1         ,2         ,"",0.0048,<1> [SRD] ,0.022,<0>  ,0.0176,<0>  ,0.407,<0>  ,0.425,<0>  ,64.08,<0>  ,
"cbmocnut  ","P",08/01/2018 8:45,1,1,1         ,1         ,"",0.003,<1> (CHB) ,0.006,<1> (CHB) ,0.0144,<1> (CHB) ,0.923,<1> (CHB) ,0.937,<1> (CHB) ,34.89,<0>  ,
"cbmocnut  ","P",08/22/2018 9:00,1,1,1         ,1         ,"",0.0022,<0>  ,0.064,<0>  ,0.0119,<0>  ,0.618,<0>  ,0.63,<0>  ,17.09,<0>  ,
"cbmocnut  ","P",08/22/2018 9:01,1,1,1         ,2         ,"",0.0026,<0>  ,0.052,<0>  ,0.0126,<0>  ,0.659,<0>  ,0.672,<0>  ,16.02,<0>  ,
"cbmocnut  ","P",09/05/2018 11:30,1,1,1         ,1         ,"",0.0065,<1> (CHB) ,0.021,<1> (CHB) ,0.0205,<1> (CHB) ,0.542,<1> (CHB) ,0.563,<0>  ,23.5,<0>  ,
"cbmocnut  ","P",09/18/2018 9:45,1,1,1         ,1         ,"",0.0034,<0>  ,0.033,<0>  ,0.0149,<0>  ,0.985,<0>  ,1.0,<0>  ,19.22,<0>  ,
"cbmocnut  ","P",09/18/2018 9:46,1,1,1         ,2         ,"",0.0043,<0>  ,0.039,<0>  ,0.0149,<0>  ,0.948,<0>  ,0.963,<0>  ,18.16,<0>  ,
"cbmocnut  ","P",10/04/2018 7:45,1,1,1         ,1         ,"",0.003,<0>  ,0.007,<0>  ,0.01,<0>  ,1.88,<1> (CHB) ,1.89,<1> (CHB) ,19.94,<0>  ,
"cbmocnut  ","P",10/24/2018 8:30,1,1,1         ,1         ,"",0.0025,<0>  ,0.004,<0>  ,0.0079,<0>  ,0.953,<0>  ,0.961,<0>  ,23.5,<1> [SRD] ,
"cbmocnut  ","P",10/24/2018 8:31,1,1,1         ,2         ,"",0.0026,<0>  ,0.002,<0>  ,0.0078,<0>  ,0.911,<0>  ,0.919,<0>  ,13.53,<1> [SRD] ,
"cbmocnut  ","P",11/15/2018 10:45,1,1,1         ,1         ,"{CSM}","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"cbmocnut  ","P",12/06/2018 10:30,1,1,1         ,1         ,"",0.0046,<1> (CHB) ,0.035,<1> (CHB) ,0.0035,<1> (CHB) ,1.436,<1> (CHB) ,1.44,<0>  ,2.67,<0>  ,
"cbmocnut  ","P",12/06/2018 10:31,1,1,1         ,2         ,"",0.0047,<1> (CHB) ,0.037,<1> (CHB) ,0.0038,<1> (CHB) ,1.446,<1> (CHB) ,1.45,<0>  ,2.67,<0>  ,

