Component,Date,Year,Month,Transect,Distance,Sample,Secchi,Salinity,Conductivity,Conductance,pH,Temp,DO,DO%,Field,Depth,HV,MS,VA,CD,PPF,HD,ZP,HV-B,MS-B,VA-B,CD-B
OPC,2007-06-19,2007,Jun,OPC1,50,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.12,0.84,0,0,0.49060000000000004,0,,0,9.032258064516128,0,0,5.275268817204301
OPC,2007-06-19,2007,Jun,OPC1,50,2,0.45,0.2,,,,,,,,,0.08,0,0,0.0892,0,,0,0.8602150537634409,0,0,0.9591397849462365
OPC,2007-06-19,2007,Jun,OPC1,50,3,0.45,0.2,,,,,,,,,0.28,0,0,0.0,0,,0,3.0107526881720434,0,0,0.0
OPC,2007-08-23,2007,Aug,OPC1,50,1,0.68,0.3,649.0,,,22.4,8.59,100.9,0,0.88,0.4,0,0,0.0,0,,0,4.301075268817205,0,0,0.0
OPC,2007-08-23,2007,Aug,OPC1,50,2,0.68,0.3,649.0,,,,,,,0.88,0.8,0,0,0.0,0,,0,8.60215053763441,0,0,0.0
OPC,2007-08-23,2007,Aug,OPC1,50,3,0.68,0.3,649.0,,,,,,,0.88,0.4,0,0,0.0,0,,0,4.301075268817205,0,0,0.0
OPC,2007-10-30,2007,Oct,OPC1,50,1,0.28,,,,,12.8,8.3,73.2,CSB,0.8,0.0,0,0,0.0,0,,0,0.0,0,0,0.0
OPC,2007-10-30,2007,Oct,OPC1,50,2,0.28,,,,,,,,,0.8,0.12,0,0,0.0,0,,0,1.2903225806451613,0,0,0.0
OPC,2007-10-30,2007,Oct,OPC1,50,3,0.28,,,,,,,,,0.8,0.16,0,0,0.0,0,,0,1.7204301075268817,0,0,0.0
OPC,2008-04-29,2008,Apr,OPC1,50,1,0.47,0.1,242.5,186.8,,13.2,10.03,94.0,CSB,0.86,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2008-04-29,2008,Apr,OPC1,50,2,0.47,0.1,242.5,,,,,,,0.86,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2008-04-29,2008,Apr,OPC1,50,3,0.47,0.1,242.5,,,,,,,0.86,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2008-06-20,2008,Jun,OPC1,50,1,0.33,0.2,0.4,0.4,,25.4,9.13,113.5,CSB,1.27,0.12,0,0,0.0,0,,0,1.2903225806451613,0,0,0.0
OPC,2008-06-20,2008,Jun,OPC1,50,2,0.34,0.2,0.4,,,,,,,1.25,0.6,0,0,0.0,0,,0,6.451612903225806,0,0,0.0
OPC,2008-06-20,2008,Jun,OPC1,50,3,0.34,0.2,0.4,,,,,,,1.23,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2008-08-14,2008,Aug,OPC1,50,1,0.6,0.3,572.0,541.0,,27.9,8.0,100.3,CSB,0.74,0.16,0,0,0.0,0,,0,1.7204301075268817,0,0,0.0
OPC,2008-08-14,2008,Aug,OPC1,50,2,0.59,0.3,572.0,,,,,,,0.75,0.44,0,0,0.0,0,,0,4.731182795698925,0,0,0.0
OPC,2008-08-14,2008,Aug,OPC1,50,3,0.59,0.3,572.0,,,,,,,0.76,1.0,0,0,0.0,0,,0,10.75268817204301,0,0,0.0
OPC,2008-10-16,2008,Oct,OPC1,50,1,0.37,3.4,5840.0,6230.0,,21.8,7.55,87.5,can't see bottom,1.1,0.0,0,0,0.0,0,,0,0.0,0,0,0.0
OPC,2008-10-16,2008,Oct,OPC1,50,2,0.4,3.4,5840.0,,,,,,,1.0,0.0,0,0,0.0,0,,0,0.0,0,0,0.0
OPC,2008-10-16,2008,Oct,OPC1,50,3,0.4,3.4,5840.0,,,,,,,1.0,0.0,0,0,0.0,0,,0,0.0,0,0,0.0
OPC,2009-06-16,2009,Jun,OPC1,50,1,0.42,0.1,184.3,286.1,,24.7,6.94,83.7,NV,1.14,0.0,0,0,0.0,0,,0,0.0,0,0,0.0
OPC,2009-06-16,2009,Jun,OPC1,50,2,0.48,0.1,184.3,,,,,,,1.14,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2009-06-16,2009,Jun,OPC1,50,3,0.49,0.1,184.3,,,,,,,1.3,0.08,0,0,0.0,0,,0,0.8602150537634409,0,0,0.0
OPC,2009-08-06,2009,Aug,OPC1,50,1,0.56,0.1,216.0,209.0,,26.7,7.97,99.0,NV,0.84,0.32,0,0,0.0,0,,0,3.4408602150537635,0,0,0.0
OPC,2009-08-06,2009,Aug,OPC1,50,2,0.54,0.1,216.0,,,,,,,0.85,0.44,0,0,0.0,0,,0,4.731182795698925,0,0,0.0
